,UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,lat,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,lon
0,72.8,2014-02-20,APODI,34,27.4,43.8,-5.62666666,22.3,34.7,RN,2.2,A340,-37.815
1,65.1,2014-02-21,APODI,47,27.5,1.4,-5.62666666,23.8,31.6,RN,2.4,A340,-37.815
2,60.7,2014-02-22,APODI,32,27.8,0,-5.62666666,22.4,34.2,RN,2.4,A340,-37.815
0,65.7,2014-02-20,CAICÓ,30,28.4,0,-6.46749999,23.1,35.4,RN,2.3,A316,-37.08499999
1,60,2014-02-21,CAICÓ,42,27.6,0.2,-6.46749999,24.4,31.1,RN,2.6,A316,-37.08499999
2,55.9,2014-02-22,CAICÓ,30,28.5,0.2,-6.46749999,23,34.8,RN,2.8,A316,-37.08499999
0,,2014-02-20,CALCANHAR,,,,-5.16,,,RN,,A344,-35.48749999
1,,2014-02-21,CALCANHAR,,,,-5.16,,,RN,,A344,-35.48749999
2,,2014-02-22,CALCANHAR,,,,-5.16,,,RN,,A344,-35.48749999
0,,2014-02-20,IPANGUACU,,,,-5.53499999,,,RN,,A372,-36.87222221
1,,2014-02-21,IPANGUACU,,,,-5.53499999,,,RN,,A372,-36.87222221
2,,2014-02-22,IPANGUACU,,,,-5.53499999,,,RN,,A372,-36.87222221
0,70,2014-02-20,MACAU,45,28.1,4,-5.15111111,23.9,33.4,RN,4.6,A317,-36.57305554
1,62.8,2014-02-21,MACAU,33,28.6,0.4,-5.15111111,24.6,34.5,RN,4.5,A317,-36.57305554
2,65.4,2014-02-22,MACAU,38,28,0,-5.15111111,23.2,33.7,RN,4.6,A317,-36.57305554
0,71,2014-02-20,MOSSORÓ,49,28.3,0,-4.90416666,24.7,32.8,RN,4.4,A318,-37.36694443
1,66.9,2014-02-21,MOSSORÓ,49,28.1,0,-4.90416666,25,32.8,RN,3.5,A318,-37.36694443
2,68.4,2014-02-22,MOSSORÓ,52,27.6,0,-4.90416666,23.6,32.6,RN,3.6,A318,-37.36694443
0,77,2014-02-20,NATAL,67,27.4,4.8,-5.83722221,24.5,29.9,RN,4.3,A304,-35.20805555
1,74.1,2014-02-21,NATAL,64,27.5,3.2,-5.83722221,25.6,30.2,RN,4.8,A304,-35.20805555
2,71.8,2014-02-22,NATAL,62,27.8,0,-5.83722221,25.8,30.5,RN,4.2,A304,-35.20805555
0,67.8,2014-02-20,SANTA CRUZ,38,27.3,0.6,-6.22805554,24.1,33,RN,2.9,A367,-36.02666666
1,65.8,2014-02-21,SANTA CRUZ,39,26.5,0,-6.22805554,22.6,31,RN,2.5,A367,-36.02666666
2,63.3,2014-02-22,SANTA CRUZ,41,27.2,0,-6.22805554,22.9,32.6,RN,2.6,A367,-36.02666666
